Date,Team,ServeTot,ServeErr,ServePts,RecTot,RecErr,AttackTot,Block,AfterPosErr, AfterPosBlo,AfterPosPts,AfterPosTot,AfterNegErr,AfterNegBlo,AfterNegPts,AfterNegTot,AfterDigErr,AfterDigBlo,AfterDigPts,AfterDigTot
12.01.2024,FKB Power Cats Düdingen,73,5,5,47,3,111,11,1,3,44,27,0,0,23,13,8,1,38,71
12.01.2024,Raiffeisen Volley Toggenburg,49,2,3,68,5,111,4,4,5,31,29,2,3,23,31,5,3,20,50
12.01.2024,VC Kanti Schaffhausen,63,7,9,61,3,82,8,2,3,25,16,5,1,41,29,4,4,24,37
12.01.2024,Sm'Aesch Pfeffingen,74,13,3,56,9,90,8,0,4,64,25,2,2,26,19,3,2,48,46
13.01.2024,Volley Lugano,74,10,8,50,2,85,3,1,2,35,17,2,0,64,28,2,3,58,40
13.01.2024,VBC Cheseaux,59,9,2,64,8,80,5,4,0,50,26,2,0,44,25,2,3,34,29
20.01.2024,Raiffeisen Volley Toggenburg,99,10,7,91,7,164,12
20.01.2024,Raiffeisen Volley Glaronia,99,8,7,87,5,164,7
20.01.2024,Sm'Aesch Pfeffingen, 87,10,4,82,9,141,10,3,3,38,32,9,1,38,37,6,4,33,72
20.01.2024,Genève Volley,94,12,9,77,4,139,8,4,5,43,35,0,1,23,31,5,4,34,74
21.01.2024,VC Kanti Schaffhausen,84,12,7,83,7,125,8,4,2,49,47,3,2,16,19,6,5,29,59
21.01.2024,FKB Power Cats Düdingen,94,13,7,72,7,140,9,1,3,32,37,0,2,41,22,7,3,41,81
21.01.2024,Viteos NUC,97,12,4,73,7,146,7,3,0,60,35,0,1,33,21,9,7,37,90
21.01.2024,Volley Lugano,87,14,7,85,4,135,8,0,1,39,28,4,1,26,42,4,5,32,65
21.01.2024,Volleyball Academy,83,11,10,57,3,98,6,3,0,61,23,5,4,28,25,2,3,48,50
21.01.2024,VBC Cheseaux,372,15,3,72,10,79,8,3,2,50,32,1,2,19,16,1,2,61,31
